title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink,parss_district,parss_county,parss_party,parss_personal_history,parss_occupation,parss_parents,parss_education,parss_career,parss_other_boards_committees_commissions,parss_military_service,parss_district_1_street1,parss_district_1_street2,parss_district_1_citystatezip,parss_district_1_phone,parss_district_2_street1,parss_district_2_street2,parss_district_2_citystatezip,parss_district_2_phone,parss_district_3_street1,parss_district_3_street2,parss_district_3_citystatezip,parss_district_3_phone,parss_capitoladdress_street1,parss_capitoladdress_street2,parss_capitoladdress_citystatezip,parss_capitoladdress_phone,parss_imagesrc,parss_memberelect,parss_vacant
JUDITH L. SCHWANK,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'JUDITH L. SCHWANK'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1234'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1234,"District 11; Last Updated: Thursday, December 15, 2022","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 11; Last Updated: Thursday, December 15, 2022'}","Thu, 15 Dec 2022 12:12:48 GMT","time.struct_time(tm_year=2022, tm_mon=12, tm_mday=15, tm_hour=12, tm_min=12, tm_sec=48, tm_wday=3, tm_yday=349, tm_isdst=0)",Senate_11_20221215_121248,False,11,Berks County (Part),D,Married to James,Legislator,Bernard (deceased) and Margaret Levine,"Graduated Penn State University, 1982, M.Ed., Agri. Ed.","Judith L. Schwank was elected to the Pennsylvania Senate in a special election in 2011. Before joining the Senate, Senator Schwank served as a Berks County Horticulture Agent for Penn State Cooperative Extension. She is also the former President and CEO of 10,000 Friends of PA and the former Dean of Agriculture & Environmental Science at Delaware Valley College. Senator Schwank became the first female Berks County Commissioner in 2000. She currently serves as a member on the following boards: Farmland Preservation, Farm Show Commission, United Way of PA and PASSHE. In the Senate, Senator Schwank was named Democratic Caucus Administrator for the 2021-2022 Legislative Session.",,,210 George Street,Suite 201,"Reading, PA 19605",(610) 929-2151,,,,,,,,,457 Main Capitol,,"Harrisburg, PA 171203011",(717) 787-8925,https://www.legis.state.pa.us/images/members/200/1234.jpg,,false
MARIA COLLETT,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'MARIA COLLETT'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1799'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1799,"District 12; Last Updated: Thursday, January 5, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 12; Last Updated: Thursday, January 5, 2023'}","Thu, 05 Jan 2023 09:18:59 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=5, tm_hour=9, tm_min=18, tm_sec=59, tm_wday=3, tm_yday=5, tm_isdst=0)",Senate_12_20230105_091859,False,12,Montgomery County (Part),D,,State Senator,,,"Senator Maria Collett represents the Twelfth Senatorial District across parts of Bucks and Montgomery Counties, which encompasses more than 247,410 people in Ambler, Bryn Athyn, Hatboro, Hatfield, North Wales, Souderton and Telford Boroughs and Franconia, Hatfield, Horsham, Lower Moreland, Lower Gwynedd, Montgomery, Upper Gwynedd, Upper Moreland, Upper Southampton, Warminster and Warrington Townships.<br /><br />Maria is a lifelong advocate for people in need. She began her career as an attorney representing the interests of children victimized by abuse and neglect as a Deputy Attorney General in Camden County, New Jersey. She then transitioned to a career in nursing, where she worked at the bedside as a Level I trauma nurse, in pediatric home health and in long term care working with aging adults. Most recently, Maria worked as a nurse educator, helping other nurses understand how to administer Medicaid programs. <br /><br />From a young age, the values of hard work, integrity and humility were instilled in Maria by her Greek immigrant father who came to the U.S. to earn a Ph.D. in Economics and by her mother, who rose from a disadvantaged childhood to became the first member of her family to graduate from college. Maria has a BA in English Literature from the University of Maryland at College Park, a JD from Rutgers University School of Law and a BSN from Drexel University.<br /><br />As a senator, Maria is committed to making sure Pennsylvanians have clean, safe drinking water and access to quality, affordable healthcare. Maria is also passionate about making sure we have fair elections, common sense gun safety legislation, and an economy that works for all Pennsylvanians.<br /><br />Maria and her husband Len, an attorney, reside in Lower Gwynedd Township with their son August.",,,Gwynedd Corporate Center,1180 Welsh Road,"North Wales, PA 19454",(215) 368-1429,,,,,,,,,543 Main Capitol,,"Harrisburg, PA 17120",(717) 787-6599,https://www.legis.state.pa.us/images/members/200/1799.jpg,,false
SCOTT MARTIN,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'SCOTT MARTIN'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1763'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1763,"District 13; Last Updated: Thursday, January 19, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 13; Last Updated: Thursday, January 19, 2023'}","Thu, 19 Jan 2023 14:06:21 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=19, tm_hour=14, tm_min=6, tm_sec=21, tm_wday=3, tm_yday=19, tm_isdst=0)",Senate_13_20230119_020621,False,13,Berks County (Part) and Lancaster County (Part),R,,State Senator,Robert and Kathleen Martin,,"Scott Martin is a lifelong Lancaster County resident with deep roots in the community.  He was elected to his first term representing the 13th Senatorial District in November 2016 and re-elected in 2020.<br /><br />While in the Senate, dozens of Scott's bills have become law as well as a Constitutional Amendment which was approved by Pennsylvania voters in May 2021 that limited the power of a governor to issue open-ended emergency declarations that last longer than necessary.<br /><br />Scott currently serves as Chair of the Senate Appropriations Committee, which plays a crucial role in negotiating and developing the state budget and is responsible for reviewing all legislation for its fiscal impact. He previously served as Chair of the Senate Education Committee and Senate Local Government Committee.<br /><br />Outside of his regular Senate responsibilities, Scott also serves as Chairman of the PA Athletic Oversight Committee and was elected to serve as Chair of the Chesapeake Bay Commission (CBC) for 2023. <br /><br />Prior to his election to the state Senate, Scott served as a Lancaster County Commissioner and helped to clean up what had become a dysfunctional and ineffective government.  As Commissioner, Scott never voted for a tax increase, downsized government by cutting duplicative agencies and departments, reduced debt by $40 million, and lowered costs for taxpayers through privatization and public employee benefit reform.<br /><br />He led many statewide reform efforts through the County Commissioners Association of Pennsylvania and was elected Chair of the Republican Caucus of County Commissioners for 8 years.  Before entering public service, Scott was successful in the private sector as a licensed Realtor and local landlord.  In addition, for 13 years, he worked in the Juvenile Justice system, including serving as Director of the Lancaster County Youth Intervention Center.<br /><br />Running the county's juvenile detention and emergency shelter-care facilities, he oversaw the effective operation of a $5.5 million budget and 150 employee organization.  Scott was also the elected Vice President of the Juvenile Detention Centers Association of Pennsylvania and served on the Pennsylvania Commission on Crime & Delinquency's Detention Steering Committee.<br /><br />Scott served on the Board of Directors of the Dr. Gene A. Carpenter Football Foundation, volunteers as a youth sports coach in wrestling and football, and gave his time and effort to groups like the United Way of Lancaster County and the Pennsylvania Dutch Convention & Visitors Bureau.<br /><br />Scott is a graduate of Lancaster Catholic High School where he was a PIAA & National Heavyweight wrestling champion, and Millersville University, where he graduated with a degree in Sociology/Criminal Justice and became a three-time 1st Team PSAC Defensive Tackle and two-time All-American.  After his college career, Scott was a free agent camp invitee of the New York Giants in the NFL and had three different stints in the Arena Football league. <br /><br />Scott has been inducted into the Lancaster Catholic Athletic Hall of Honor, the Millersville University Athletic Hall of Fame, the Lancaster-Lebanon League Wrestling Hall of Fame, the District III Wrestling Hall of Fame, the Lancaster County Sports Hall of Fame and the Pennsylvania Sports Hall of Fame, Susquehanna Valley Chapter.   Recently, in recognition of the 150th anniversary of college football, Scott was named one of the 150 greatest players/contributors in the Pennsylvania State Athletic Conference history, one of ten Millersville Marauders to earn that honor.<br /><br />Scott and his wife Amber are the proud parents of four children: Alexia, Hayden, Alivia and Gavin.",,,135 E. Main Street,Suite 1-A,"Strasburg, PA 17579",(717) 397-1309,,,,,,,,,281 Main Capitol,,"Harrisburg, PA 17120",(717) 787-6535,https://www.legis.state.pa.us/images/members/200/1763.jpg,,false
NICK MILLER,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'NICK MILLER'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=2009'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=2009,"District 14; Last Updated: Wednesday, February 8, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 14; Last Updated: Wednesday, February 8, 2023'}","Wed, 08 Feb 2023 09:24:15 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=8, tm_hour=9, tm_min=24, tm_sec=15, tm_wday=2, tm_yday=39, tm_isdst=0)",Senate_14_20230208_092415,False,14,Lehigh County (Part) and Northampton County (Part),D,,,,,"Senator Nick Miller is a fifth generation Allentown resident, raised by his mother, a public servant, who instilled upon him the importance of service from a young age. He graduated with a bachelor's degree from Penn State University and a Master's in Public Administration from the University of Pennsylvania. This spirit of service is what inspired Nick to successfully run for the Allentown School Board in 2019, serving as Vice President of the School Board in 2021. Nick is most proud of directing $34 million of the Elementary and Secondary School Emergency Relief funding from the American Rescue Plan Act to upgrade some of the district's oldest buildings, including installing air conditioning in 10 of the district's schools by 2025, and effectively navigating the school district through the Covid-19 pandemic. In 2021, Nick climbed Mt. Kilimanjaro to raise more than $20,000 for the Allentown School District Foundation to refurbish the weight rooms at Allen and Dieruff high schools. <br /><br />A small business owner, Nick understands the need for investment in our local economy. He looks forward to supporting policies that attract new economic opportunities across the 14th District, making it easier for families to make ends meet and keeping more money in Pennsylvanian's wallets. <br /><br />In the state Senate, Nick will continue as an unwavering advocate for students, educators, and economic success for families and small businesses in the Lehigh Valley.",,,740 W. Hamilton St.,Suite 200,"Allentown, PA 18101",(610) 821-8468,,,,,,,,,352 Main Capitol,,"Harrisburg, PA 17120",(717) 787-7105,https://www.legis.state.pa.us/images/members/200/2009.jpg,,false
JOHN DISANTO,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'JOHN DISANTO'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1765'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1765,"District 15; Last Updated: Wednesday, January 4, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 15; Last Updated: Wednesday, January 4, 2023'}","Wed, 04 Jan 2023 13:57:37 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=4, tm_hour=13, tm_min=57, tm_sec=37, tm_wday=2, tm_yday=4, tm_isdst=0)",Senate_15_20230104_015737,False,15,Dauphin County (Part),R,,State Senator,,,"John DiSanto is a second-generation family business owner with broad experience in construction and real estate development. He is a managing trustee of the Terra Trust, a real estate development and investment trust that owns and operates a multi-state portfolio of properties as well as construction and property management service providers. In 2016, John was elected to the Senate representing the 15th Senatorial District, which covers most of Dauphin County and all of Perry County. His agenda includes reforming government, cutting wasteful spending, eliminating property taxes and removing bureaucratic barriers to job creation. John has been instrumental in many large-scale philanthropic initiatives, including construction of the new Bishop McDevitt High School and both building and rehabilitating homes for Habitat for Humanity. He has actively supported educational programs, youth athletics and many other charitable causes that strengthen our communities. Born and raised in the Harrisburg area, John graduated from Central Dauphin High School and earned a Bachelor's Degree in Business Administration with a focus on Urban Planning from American University. He and his wife, Maria, have two grown children.",,,,,,,,,,,,,,,168 Main Capitol,,"Harrisburg, PA 17120",(717) 787-6801,https://www.legis.state.pa.us/images/members/200/1765.jpg,,false
JARRETT COLEMAN,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'JARRETT COLEMAN'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=2008'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=2008,"District 16; Last Updated: Thursday, January 12, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 16; Last Updated: Thursday, January 12, 2023'}","Thu, 12 Jan 2023 11:51:48 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=12, tm_hour=11, tm_min=51, tm_sec=48, tm_wday=3, tm_yday=12, tm_isdst=0)",Senate_16_20230112_115148,False,16,Bucks County (Part) and Lehigh County (Part),R,,,,,,,,,,,,,,,,,,,,459 Main Capitol,,"Harrisburg, PA",(717) 787-1349,https://www.legis.state.pa.us/images/members/200/2008.jpg,,false
AMANDA M. CAPPELLETTI,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'AMANDA M. CAPPELLETTI'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1923'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1923,"District 17; Last Updated: Tuesday, November 29, 2022","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 17; Last Updated: Tuesday, November 29, 2022'}","Tue, 29 Nov 2022 08:40:58 GMT","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=29, tm_hour=8, tm_min=40, tm_sec=58, tm_wday=1, tm_yday=333, tm_isdst=0)",Senate_17_20221129_084058,False,17,Delaware County (Part) and Montgomery County (Part),D,,State Senator,,"Chestnut Hill College, B.S. <br />Temple University James E. Beasley School of Law, J.D. <br />Temple University, College of Health Professions and Social Work, M.P.H.","Senator Amanda Cappelletti represents the 17th Senatorial District in Montgomery and Delaware Counties. The district encompasses Radnor and Haverford in Delaware Counties and 9 municipalities in Montgomery County from Lower Merion into Norristown and Blue Bell. Senator Cappelletti is a born and raised advocate for Pennsylvania. Through her upbringing and career, Amanda has put helping others first. Whether it was a service project in junior high or stepping up to protect reproductive rights in Pennsylvania, Amanda will lend a hand to those who need it most. An attorney with a Master's in Public Health, Amanda has worked in Harrisburg to advance progressive policy. She worked with Representative Donna Bullock and as a Fellow for the ACLU of Pennsylvania. She was a member of the first group awarded the William Penn Fellowship through the Governor's Office: first as an advocate for children at the Office of Child Development and Early Learning, and then at the Department of Human Services as a policy specialist tracking legislation to assess implementation. Most recently, Amanda served as Director of Policy for Planned Parenthood advocating for reproductive health. In 2017, Amanda was elected to East Norriton's Board of Supervisors, where she led the conversation in police reform and successfully decriminalized marijuana. A life-long resident of Pennsylvania, Amanda grew up in Boyertown and graduated from Boyertown Area Senior High. She attended Chestnut Hill College for her undergraduate degree, and received her law degree and Master's in Public Health from Temple University. She currently resides in East Norriton with her husband, Gregory McQuiston, a U.S. Navy veteran.",,,221 West Main St.,,"Norristown, PA 19401",(610) 768-4200,110 Ardmore Avenue,,"Ardmore, PA 19003",(610) 896-2832,,,,,183 Main Capitol,,"Harrisburg, PA 17120",(717) 787-5544,https://www.legis.state.pa.us/images/members/200/1923.jpg,,false
LISA M. BOSCOLA,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'LISA M. BOSCOLA'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=179'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=179,"District 18; Last Updated: Thursday, January 5, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 18; Last Updated: Thursday, January 5, 2023'}","Thu, 05 Jan 2023 09:17:56 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=5, tm_hour=9, tm_min=17, tm_sec=56, tm_wday=3, tm_yday=5, tm_isdst=0)",Senate_18_20230105_091756,False,18,Lehigh County (Part) and Northampton County (Part),D,"State Senator Lisa M. Boscola has spent the majority of her professional career working to improve the lives of Lehigh Valley residents. Born in Bethlehem on April 6, 1962 to Richard and Anna Stofko - Senator Boscola has remained a proud steel worker's daughter and life-long resident of the Lehigh Valley, a fact which has made her intimately familiar with the issues that face her district and the people she represents. First elected to the Pennsylvania General Assembly in 1994, Senator Boscola served two terms in the state House and is serving her fifth term representing the 18th Senatorial District, consisting of Northampton and Lehigh Counties. Prior to her election to the General Assembly, Senator Boscola served as Deputy Court Administrator with the Northampton County Court. She received her Bachelors and Masters degrees from Villanova University cum laude.",State Senator,Richard J. and Anna,"Wilson College for Minor Judiciary, Certification for D.J., 1987;  Villanova University, B.A. Political Science, (cum laude), 1984;  M.A. Political Science, 1985","Throughout her legislative career, Senator Boscola has worked tirelessly to bring property tax reform to the forefront of the debate in the General Assembly.  Senator Boscola has been a leading proponent of the total elimination of the local school property tax and has been a co-sponsor of Senate Bill 76. Every Session, she has also introduced legislation to freeze property taxes on seniors so that they can remain in their homes. Redistricting reform has been an issue that Senator Boscola has continued to fight for through the years by introducing legislation to amend the Pennsylvania Constitution, and change the way the Commonwealth conducts the redistricting process by removing politics and creating a truly Independent Citizen's Commission. Senator Boscola has also focused on the need for state government to promote economic development initiatives to provide family sustaining jobs to the Lehigh Valley and across the Commonwealth. She has worked diligently to bring the Lehigh Valley region our fair share of state funds for worthwhile local projects. She has been a strong advocate for funding economic development programs with proven track records of job creation and retention such as the Ben Franklin Technology Centers, Small Business Development Center and the Manufacturer's Resource Center. Working with the private sector to drive growth, job expansion and retention has been a focus for Senator Boscola. Cutting out the red tape, ensuring the State's incentives are competitive with surrounding states is one way government can help promote growth. Most recently, Senator Boscola was the proud prime sponsor of the omnibus bill, Senate Bill 421 of 2019-20, which is known, today, as Act 77 of 2019. Act 77 was the largest voting modernization bill in decades that included the elimination of straight party voting, extending the deadline for absentee ballot submissions, and created a no excuse mail-in voting option for all Pennsylvania voters, in which, ""kitchen tables and living rooms will be converted in polling places. Researching a candidate can be done while you vote from the comfort of your own home."" Senator Boscola was instrumental in bringing a City Revitalization and Improvement Zone (CRIZ) designation to Bethlehem. Senator Boscola fought hard to ensure that Bethlehem had an opportunity to submit a CRIZ application and has worked to ensure that the incentive will be a tool that would drive new growth to the region. It was in Senator Boscola's recognition that staying competitive required creative incentives to help generate new growth in the region, which is what the CRIZ accomplished. As our region continued to recover from the loss of Bethlehem Steel, the CRIZ looked to leverage new state tax increments to complete difficult development projects in Bethlehem and beyond. The redevelopment of the vacant steel land has proven successful and has created diverse job opportunities that have enabled Bethlehem and the Lehigh Valley to flourish and remain one of the most competitive regions, of size, in the Northeast. Currently, Senator Boscola serves as the Chair of the Consumer Protection and Professional Licensure Committee where she has tirelessly protected consumers from utility rate increases. From 2011 through 2020, Senator Boscola served as Chair of the Senate Democratic Policy Committee, where she lead the fight to bring policies into state government that would create family sustaining jobs, protect the rights of victims of crime, reform and reduce the size of state government and promote school to work opportunities.  Along with Consumer Protection, Senator Boscola is also a member of the Judiciary, Banking & Insurance, Game and Fisheries, Rules & Executive Nominations and Community, Economic & Recreational Development Committees.  Senator Boscola is also involved in a number of legislative caucus' including serving as co-chair of the Economy, Business & Jobs Caucus and the Community College Caucus. She is also a member of the Local & School Property Tax Relief Caucus, Legislative Sportsmen Caucus, Fire & Emergency Services Caucus, Early Childhood Education Caucus, among others. Senator Boscola resides in Bethlehem Township with her husband, Ed Boscola and their furry felines.",,,1 East Broad Street,Suite 120,"Bethlehem, PA 18018",(610) 868-8667,,,,,,,,,458 Main Capitol,,"Harrisburg, PA 17120",(717) 787-4236,https://www.legis.state.pa.us/images/members/200/179.jpg,,false
CAROLYN T. COMITTA,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'CAROLYN T. COMITTA'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1790'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1790,"District 19; Last Updated: Wednesday, March 1, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 19; Last Updated: Wednesday, March 1, 2023'}","Wed, 01 Mar 2023 14:46:22 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=1, tm_hour=14, tm_min=46, tm_sec=22, tm_wday=2, tm_yday=60, tm_isdst=0)",Senate_19_20230301_024622,False,19,Chester County (Part),D,,"Vice President TCA, Inc., Mayor of West Chester, PA (2010-2017), PA State Representative (2016-2020)",,"Downingtown High School<br />West Chester State College, BS Ed. 1974<br />Widener University",,,,17 East Gay St.,Suite 301,"West Chester, PA 19380",(610) 692-2112,,,,,,,,,457 Main Capitol,,"Harrisburg, PA 171202156",(717) 787-5709,https://www.legis.state.pa.us/images/members/200/1790.jpg,,false
LISA BAKER,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'LISA BAKER'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1077'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1077,"District 20; Last Updated: Thursday, January 5, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 20; Last Updated: Thursday, January 5, 2023'}","Thu, 05 Jan 2023 09:17:26 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=5, tm_hour=9, tm_min=17, tm_sec=26, tm_wday=3, tm_yday=5, tm_isdst=0)",Senate_20_20230105_091726,False,20,"Luzerne County (Part), Pike County (Part), Susquehanna County, Wayne County (Part) and Wyoming County",R,Married to Gary Baker<br />One son,State Senator,"Edward W. Jones, II (dec.) and Martha C. (dec.)","Shippensburg University, B.A. Government Administration, 1983","research analyst, Sen. Robert Jubelirer; chief of staff, Sen. Charles Lemmond; NE Director, Gov. Tom Ridge; deputy chief of staff, Gov. Tom Ridge and Gov. Mark Schweiker; executive director, the Blue Ribbon Foundation; 2012 Legislator of the Year Award, American Heart Association; 2012 Jesse S. Heiges Distinguished Alumnus Award, Shippensburg University; 2011-12 Guardian of Small Business Award, NFIB; 2010 Patrick Henry Award, National Guard Association of the United States; 2008 James Baird Legislative Award, Firemen's Legislative Federation; 2007 Outstanding Service Award, Pennsylvania War Veterans Council. Member of Senate 2007 to date.",,,22 Dallas Shopping Center,,"Dallas, PA 18612",(570) 675-3931,2512 Route 6,,"Hawley, PA 18428",(570) 226-5960,,,,,173 Main Capitol,,"Harrisburg, PA 17120",(717) 787-7428,https://www.legis.state.pa.us/images/members/200/1077.jpg,,false
SCOTT HUTCHINSON,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'SCOTT HUTCHINSON'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1629'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1629,"District 21; Last Updated: Tuesday, December 6, 2022","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 21; Last Updated: Tuesday, December 6, 2022'}","Tue, 06 Dec 2022 14:26:28 GMT","time.struct_time(tm_year=2022, tm_mon=12, tm_mday=6, tm_hour=14, tm_min=26, tm_sec=28, tm_wday=1, tm_yday=340, tm_isdst=0)",Senate_21_20221206_022628,False,21,"Butler County (Part), Clarion County, Erie County (Part), Forest County, Venango County and Warren County",R,Married to Mary Beth,State Senator,,"University of Pennsylvania Wharton School of Finance, Bachelor of Science in Economics, 1983; University of Pittsburgh at Titusville; Thiel College","Chief Deputy County Treasurer for Venango County, 1984 to 1992; member of the Oil City Area School Board, 1985 to 1992; Venango County Board of Assistance, 1986 to 1992; member of Pennsylvania House of Representatives 64th District, 1992 to 2012; member of the Pennsylvania Senate, January 2013 to date; member of St. Joseph Church.",,,229 Elm Street,,"Oil City, PA 16301",(814) 677-6345,110 E. Diamond Street,,"Butler, PA 160015999",(724) 282-1234,22045 Route 6,,"Warren, PA 163657952",(814) 728-2100,337 Main Capitol,,"Harrisburg, PA 17120",(717) 787-9684,https://www.legis.state.pa.us/images/members/200/1629.jpg,,false
MARTY FLYNN,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'MARTY FLYNN'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1626'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1626,"District 22; Last Updated: Thursday, January 5, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 22; Last Updated: Thursday, January 5, 2023'}","Thu, 05 Jan 2023 09:22:56 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=5, tm_hour=9, tm_min=22, tm_sec=56, tm_wday=3, tm_yday=5, tm_isdst=0)",Senate_22_20230105_092256,False,22,Lackawanna County (Part) and Luzerne County (Part),D,,State Senator,,"Scranton Preparatory School, 1994<br />Marywood University B.S. Legal Studies, 1999",,,,409 North Main Ave,Jay Commons,"Scranton, PA 18504",(570) 207-2881,,,,,,,,,184 Main Capitol,,"Harrisburg, PA 17120",(717) 787-6481,https://www.legis.state.pa.us/images/members/200/1626.jpg,,false
